"exp_id","date","rep_id","time","strain","dox","OD0","OD"
1,2025-02-07,1,0,"w1368",0,0.1,0.1
1,2025-02-07,1,1.5,"w1368",0,0.1,0.73
1,2025-02-07,1,3,"w1368",0,0.1,0.45
1,2025-02-07,1,4.5,"w1368",0,0.1,0.41
1,2025-02-07,1,6,"w1368",0,0.1,1
1,2025-02-07,1,7.5,"w1368",0,0.1,1.9
1,2025-02-07,1,9,"w1368",0,0.1,1.12
1,2025-02-07,1,0,"w1368",60,0.1,0.1
1,2025-02-07,1,1.5,"w1368",60,0.1,0.19
1,2025-02-07,1,3,"w1368",60,0.1,0.32
1,2025-02-07,1,4.5,"w1368",60,0.1,0.47
1,2025-02-07,1,6,"w1368",60,0.1,0.78
1,2025-02-07,1,7.5,"w1368",60,0.1,1.51
1,2025-02-07,1,9,"w1368",60,0.1,2.43
1,2025-02-07,1,0,"h1471",0,0.1,0.1
1,2025-02-07,1,1.5,"h1471",0,0.1,0.78
1,2025-02-07,1,3,"h1471",0,0.1,0.64
1,2025-02-07,1,4.5,"h1471",0,0.1,0.98
1,2025-02-07,1,6,"h1471",0,0.1,2.18
1,2025-02-07,1,7.5,"h1471",0,0.1,4.32
1,2025-02-07,1,9,"h1471",0,0.1,8
1,2025-02-07,1,0,"h1471",60,0.1,0.1
1,2025-02-07,1,1.5,"h1471",60,0.1,0.12
1,2025-02-07,1,3,"h1471",60,0.1,0.35
1,2025-02-07,1,4.5,"h1471",60,0.1,0.9
1,2025-02-07,1,6,"h1471",60,0.1,1.62
1,2025-02-07,1,7.5,"h1471",60,0.1,3.56
1,2025-02-07,1,9,"h1471",60,0.1,6.41
1,2025-02-07,1,0,"t1513",0,0.1,0.1
1,2025-02-07,1,1.5,"t1513",0,0.1,0.75
1,2025-02-07,1,3,"t1513",0,0.1,0.45
1,2025-02-07,1,4.5,"t1513",0,0.1,0.39
1,2025-02-07,1,6,"t1513",0,0.1,1.01
1,2025-02-07,1,7.5,"t1513",0,0.1,1.82
1,2025-02-07,1,9,"t1513",0,0.1,3.7
1,2025-02-07,1,0,"t1513",60,0.1,0.1
1,2025-02-07,1,1.5,"t1513",60,0.1,0.1
1,2025-02-07,1,3,"t1513",60,0.1,0.17
1,2025-02-07,1,4.5,"t1513",60,0.1,0.27
1,2025-02-07,1,6,"t1513",60,0.1,0.45
1,2025-02-07,1,7.5,"t1513",60,0.1,0.76
1,2025-02-07,1,9,"t1513",60,0.1,1.49
1,2025-02-07,1,0,"t1516",0,0.1,0.1
1,2025-02-07,1,1.5,"t1516",0,0.1,0.67
1,2025-02-07,1,3,"t1516",0,0.1,0.36
1,2025-02-07,1,4.5,"t1516",0,0.1,0.42
1,2025-02-07,1,6,"t1516",0,0.1,0.83
1,2025-02-07,1,7.5,"t1516",0,0.1,1.86
1,2025-02-07,1,9,"t1516",0,0.1,3.24
1,2025-02-07,1,0,"t1516",60,0.1,0.1
1,2025-02-07,1,1.5,"t1516",60,0.1,0.11
1,2025-02-07,1,3,"t1516",60,0.1,0.14
